行业名称,市场环境,平均超额收益,胜率,样本数
交通运输,上涨期,-0.0011,0.4947,95
交通运输,下跌期,0.0008,0.4776,134
交通运输,震荡期,0.0004,0.5176,709
休闲服务,上涨期,0.0012,0.5368,95
休闲服务,下跌期,-0.0005,0.4552,134
休闲服务,震荡期,-0.0001,0.5162,709
传媒,上涨期,0.0023,0.5474,95
传媒,下跌期,-0.0004,0.5224,134
传媒,震荡期,0.0002,0.4838,709
公用事业,上涨期,-0.0017,0.4842,95
公用事业,下跌期,0.0021,0.5224,134
公用事业,震荡期,0.0006,0.5219,709
农林牧渔,上涨期,0.0001,0.4526,95
农林牧渔,下跌期,-0.0008,0.4701,134
农林牧渔,震荡期,0.0,0.4542,709
化工,上涨期,0.0015,0.6421,95
化工,下跌期,0.0005,0.5597,134
化工,震荡期,-0.0001,0.5035,709
医药生物,上涨期,0.0001,0.5263,95
医药生物,下跌期,0.0011,0.5149,134
医药生物,震荡期,-0.0004,0.464,709
商业贸易,上涨期,0.0017,0.5579,95
商业贸易,下跌期,-0.0,0.4925,134
商业贸易,震荡期,-0.0001,0.4866,709
国防军工,上涨期,0.0023,0.5474,95
国防军工,下跌期,0.001,0.4851,134
国防军工,震荡期,-0.0,0.4725,709
家用电器,上涨期,-0.0001,0.4526,95
家用电器,下跌期,0.0002,0.4925,134
家用电器,震荡期,0.0002,0.5078,709
建筑材料,上涨期,0.0003,0.4947,95
建筑材料,下跌期,0.0002,0.5,134
建筑材料,震荡期,-0.0004,0.4457,709
建筑装饰,上涨期,0.0004,0.4632,95
建筑装饰,下跌期,0.002,0.5299,134
建筑装饰,震荡期,0.0002,0.4979,709
房地产,上涨期,0.0007,0.4421,95
房地产,下跌期,0.0005,0.4851,134
房地产,震荡期,-0.0003,0.457,709
有色金属,上涨期,0.0027,0.5368,95
有色金属,下跌期,0.0011,0.5299,134
有色金属,震荡期,0.0,0.4979,709
机械设备,上涨期,0.0018,0.5684,95
机械设备,下跌期,0.0009,0.5,134
机械设备,震荡期,0.0001,0.5162,709
汽车,上涨期,0.0022,0.5684,95
汽车,下跌期,0.0001,0.4478,134
汽车,震荡期,0.0004,0.4993,709
电子,上涨期,0.0029,0.5895,95
电子,下跌期,0.0007,0.4776,134
电子,震荡期,-0.0,0.488,709
电气设备,上涨期,0.0033,0.6,95
电气设备,下跌期,0.001,0.4925,134
电气设备,震荡期,-0.0003,0.4542,709
纺织服装,上涨期,-0.0004,0.5158,95
纺织服装,下跌期,0.0011,0.5896,134
纺织服装,震荡期,0.0002,0.5205,709
综合,上涨期,0.0016,0.5789,95
综合,下跌期,0.0024,0.5821,134
综合,震荡期,0.0001,0.5205,709
计算机,上涨期,0.0047,0.6105,95
计算机,下跌期,0.0004,0.5299,134
计算机,震荡期,-0.0002,0.488,709
轻工制造,上涨期,0.0007,0.5474,95
轻工制造,下跌期,-0.0001,0.5,134
轻工制造,震荡期,0.0,0.5106,709
通信,上涨期,0.0031,0.5158,95
通信,下跌期,0.0011,0.5149,134
通信,震荡期,0.0005,0.5063,709
钢铁,上涨期,0.0001,0.4632,95
钢铁,下跌期,0.0007,0.5224,134
钢铁,震荡期,0.0003,0.4795,709
银行,上涨期,-0.0022,0.3895,95
银行,下跌期,0.0013,0.6045,134
银行,震荡期,0.0005,0.5317,709
非银金融,上涨期,0.0005,0.4842,95
非银金融,下跌期,-0.0004,0.5224,134
非银金融,震荡期,0.0004,0.5021,709
食品饮料,上涨期,0.0005,0.4947,95
食品饮料,下跌期,-0.0023,0.403,134
食品饮料,震荡期,0.0002,0.4669,709
